id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
146	5586	воображу'	вообрази'шь	вообрази'т	вообрази'м	вообрази'те	вообразя'т
147	31187	вооружа'юсь	вооружа'ешься	вооружа'ется	вооружа'емся	вооружа'етесь	вооружа'ются
148	24356	вооружу'	вооружи'шь	вооружи'т	вооружи'м	вооружи'те	вооружа'т
149	14614	вооружу'сь	вооружи'шься	вооружи'тся	вооружи'мся	вооружи'тесь	вооружа'тся
150	17692	ворку'ю	ворку'ешь	ворку'ет	ворку'ем	ворку'ете	ворку'ют
151	4270	вору'ю	вору'ешь	вору'ет	вору'ем	вору'ете	вору'ют
152	5042	ворчу'	ворчи'шь	ворчи'т	ворчи'м	ворчи'те	ворча'т
153	1389	воскли'кну	воскли'кнешь	воскли'кнет	воскли'кнем	воскли'кнете	воскли'кнут
154	8420	восклица'ю	восклица'ешь	восклица'ет	восклица'ем	восклица'ете	восклица'ют
155	19580	воспева'ю	воспева'ешь	воспева'ет	воспева'ем	воспева'ете	воспева'ют
156	7865	воспита'ю	воспита'ешь	воспита'ет	воспита'ем	воспита'ете	воспита'ют
157	4838	воспи'тываю	воспи'тываешь	воспи'тывает	воспи'тываем	воспи'тываете	воспи'тывают
158	2596	воспо'льзуюсь	воспо'льзуешься	воспо'льзуется	воспо'льзуемся	воспо'льзуетесь	воспо'льзуются
159	22088	воспрепя'тствую	воспрепя'тствуешь	воспрепя'тствует	воспрепя'тствуем	воспрепя'тствуете	воспрепя'тствуют
160	3754	воспринима'ю	воспринима'ешь	воспринима'ет	воспринима'ем	воспринима'ете	воспринима'ют
161	5349	восприму'	воспри'мешь	воспри'мет	воспри'мем	воспри'мете	воспри'мут
162	31742	воссоздаю'	воссоздаёшь	воссоздаёт	воссоздаём	воссоздаёте	воссоздаю'т
163	21554	воссозда'м	воссозда'шь	воссозда'ст	воссоздади'м	воссоздади'те	воссоздаду'т
164	25562	восстаю'	восстаёшь	восстаёт	восстаём	восстаёте	восстаю'т
165	10791	восста'ну	восста'нешь	восста'нет	восста'нем	восста'нете	восста'нут
166	15450	восторга'юсь	восторга'ешься	восторга'ется	восторга'емся	восторга'етесь	восторга'ются
167	6445	восхища'юсь	восхища'ешься	восхища'ется	восхища'емся	восхища'етесь	восхища'ются
168	20296	впита'ю	впита'ешь	впита'ет	впита'ем	впита'ете	впита'ют
169	14949	впи'тываю	впи'тываешь	впи'тывает	впи'тываем	впи'тываете	впи'тывают
170	1617	вру'	врёшь	врёт	врём	врёте	вру'т
171	6507	враща'юсь	враща'ешься	враща'ется	враща'емся	враща'етесь	враща'ются
172	15275	врежу'	вреди'шь	вреди'т	вреди'м	вреди'те	вредя'т
173	5382	вска'киваю	вска'киваешь	вска'кивает	вска'киваем	вска'киваете	вска'кивают
174	1393	вскочу'	вско'чишь	вско'чит	вско'чим	вско'чите	вско'чат
175	11513	вскрыва'ю	вскрыва'ешь	вскрыва'ет	вскрыва'ем	вскрыва'ете	вскрыва'ют
176	6428	вскро'ю	вскро'ешь	вскро'ет	вскро'ем	вскро'ете	вскро'ют
177	735	вспомина'ю	вспомина'ешь	вспомина'ет	вспомина'ем	вспомина'ете	вспомина'ют
