word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
46180			презенту'й	презенту'йте	презентова'л	презентова'ла	презентова'ло	презентова'ли	11734
46182			преисполня'й	преисполня'йте	преисполня'л	преисполня'ла	преисполня'ло	преисполня'ли	11735
46183			преисполня'йся	преисполня'йтесь	преисполня'лся	преисполня'лась	преисполня'лось	преисполня'лись	11736
46185	imperfective	воспрекословить	прекосло'вь	прекосло'вьте	прекосло'вил	прекосло'вила	прекосло'вило	прекосло'вили	11737
46196	imperfective	преломить	преломля'й	преломля'йте	преломля'л	преломля'ла	преломля'ло	преломля'ли	11738
46197			преломля'йся	преломля'йтесь	преломля'лся	преломля'лась	преломля'лось	преломля'лись	11739
46200	imperfective		прелюбоде'йствуй	прелюбоде'йствуйте	прелюбоде'йствовал	прелюбоде'йствовала	прелюбоде'йствовало	прелюбоде'йствовали	11740
46207	imperfective	преобразовать	преобразо'вывай	преобразо'вывайте	преобразо'вывал	преобразо'вывала	преобразо'вывало	преобразо'вывали	11741
46208	imperfective	преобразоваться	преобразо'вывайся	преобразо'вывайтесь	преобразо'вывался	преобразо'вывалась	преобразо'вывалось	преобразо'вывались	11742
46213			препоруча'й	препоруча'йте	препоруча'л	препоруча'ла	препоруча'ло	препоруча'ли	11743
46214	imperfective	препроводить	препровожда'й	препровожда'йте	препровожда'л	препровожда'ла	препровожда'ло	препровожда'ли	11744
46216	imperfective		пререка'йся	пререка'йтесь	пререка'лся	пререка'лась	пререка'лось	пререка'лись	11745
46222			пресека'йся	пресека'йтесь	пресека'лся	пресека'лась	пресека'лось	пресека'лись	11746
46237	imperfective	преступить	преступа'й	преступа'йте	преступа'л	преступа'ла	преступа'ло	преступа'ли	11747
46238	imperfective	пресытить	пресыща'й	пресыща'йте	пресыща'л	пресыща'ла	пресыща'ло	пресыща'ли	11748
46239			пресыща'йся	пресыща'йтесь	пресыща'лся	пресыща'лась	пресыща'лось	пресыща'лись	11749
46243	imperfective	претворить	претворя'й	претворя'йте	претворя'л	претворя'ла	претворя'ло	претворя'ли	11750
46250	imperfective	преуменьшить	преуменьша'й	преуменьша'йте	преуменьша'л	преуменьша'ла	преуменьша'ло	преуменьша'ли	11751
46258	imperfective	приберечь	приберега'й	приберега'йте	приберега'л	приберега'ла	приберега'ло	приберега'ли	11752
46259	imperfective	прибраться	прибира'йся	прибира'йтесь	прибира'лся	прибира'лась	прибира'лось	прибира'лись	11753
46265			прива'живай	прива'живайте	прива'живал	прива'живала	прива'живало	прива'живали	11754
