word_id	gender	partner	animate	indeclinable	sg_only	pl_only	decl_sg_id	decl_pl_id
2186	m	воровка	1	0	0	0	3202	3203
2188	m	разведчица	1	0	0	0	17443	17444
2191			1	0	0	0	24890	24891
2192	m	бандитка	1	0	0	0	1138	1139
2194	f		0	0	0	0	15170	15171
2198	m		0	0	0	0	4481	4482
2200	m		0	0	0	0	17774	17775
2201	f		0	0	0	0	24490	24491
2204	n		0	0	0	0	10732	10733
2207			0	0	0	0	24892	24893
2210	m		0	0	0	0	7114	7115
2211	n		0	0	1	0	6624	81758
2215	m		1	0	0	0	20593	20594
2216	m		0	0	0	0	5813	5814
2218	m		0	0	0	0	12541	12542
2221	f		0	0	0	0	24277	24278
2224	m		0	0	0	0	13573	13574
2227	f		0	0	0	0	14292	14293
2232			0	0	0	0	24894	24895
2233	n		0	0	0	0	6429	6430
2235	f		0	0	0	0	12916	12917
2236	n		0	0	0	0	3141	3142
2237	f		0	0	0	0	24025	24026
2238	f		0	0	0	0	413	414
2239	m		0	0	0	0	22050	22051
2240	m		0	0	0	0	4424	4425
2245	f		0	0	0	0	17920	17921
2248	n		0	0	0	0	17704	17705
2249	m		0	0	0	0	10093	10094
2250	f		0	0	0	0	15011	15012
2252	f		0	0	0	0	4626	4627
2256	f			0	1	0	23537	81759
2257	f		0	0	0	0	10225	10226
2259	n		0	0	0	0	17582	17583
2260	m	императрица	1	0	0	0	6963	6964
2261	m		0	0	0	0	9750	9751
2264	m		0	0	0	0	4630	4631
2265	n		0	0	0	0	16502	16503
2270	m		1	0	0	0	9500	9501
2272			0	0	0	0	24908	24909
2274			0	0	0	0	24910	24911
2276	f		0	0	0	0	14533	14534
2280	m		0	0	0	0	15770	15771
2282	m		0	0	0	0	19164	19165
2287	n		0	0	0	0	24912	24913
2288	m		0	0	0	0	8466	8467
2291	m		0	0	0	0	23693	23694
2292	f		0	0	0	0	9866	9867
2293	f	старичок	1	0	0	0	20348	20349
2295	n		0	0	0	0	11292	11293
2297	m		0	0	0	0	4744	4745
2298	f		0	0	0	0	13886	13887
2300	m		1	0	0	0	20737	20738
2303	m		0	0	0	0	15624	15625
2304	f		0	0	0	0	2825	2826
2305	m		0	0	0	0	4196	4197
2309	m		0	0	0	0	15649	15650
2317	m		1	0	0	0	20209	20210
2318	m		0	0	0	0	7417	7418
2319	n		0	0	0	0	21559	21560
2321	f		0	0	0	0	23240	23241
2329	m		1	0	0	0	3814	3815
2330	n		0	0	0	0	14678	14679
2331	m		0	0	0	0	20444	20445
2333	m		0	0	0	0	9943	9944
2334	m		0	0	0	0	4269	4270
2335	m		1	0	0	0	244	245
2339	m		0	0	0	0	8682	8683
2340	f		0	0	0	0	17155	17156
2342	m		1	0	0	0	8151	8152
2343	f		0	0	0	0	11996	11997
2345	f		0	0	0	0	19716	19717
2347	m		0	0	0	0	10245	10246
2349	m		0	0	0	0	4602	4603
2350	m		1	0	0	0	11043	11044
2358	n		0	0	0	0	14442	14443
2359	m		0	0	0	0	8327	8328
2360	m	владелица	1	0	0	0	2874	2875
2361	m		0	0	0	0	8664	8665
2364	n		0	0	0	0	6581	6582
2365	f		0	0	0	0	19396	19397
2369	m		1	0	0	0	18413	18414
2370	n		0	0	0	0	24483	24484
2373	m		0	0	0	0	13577	13578
2375	f		0	0	0	0	9377	9378
2377	f		0	0	0	0	20420	20421
2380	n		0	0	0	0	12889	12890
2381	f		0	0	0	0	21800	21801
2385	m		0	0	0	0	2722	2723
2387	m		0	0	0	0	12973	12974
2388	m		1	0	0	0	8059	8060
2393	f		0	0	0	0	10464	10465
2394	m		0	0	0	0	19305	19306
2395	m		0	0	0	0	2612	2613
2396	m		0	0	0	0	17271	17272
2397			1	0	0	0	24918	24919
2398	m		1	0	0	0	9653	9654
2401	n		0	0	0	0	9548	9549
2405	m		0	0	0	0	3781	3782
2410			0	0	0	0	24922	24923
2412	m		1	0	0	0	7599	7600
2413	m		0	0	0	0	17596	17597
2416			0	0	0	0	24924	24925
2417	n		0	0	0	0	11405	11406
2422	m		0	0	0	0	12199	12200
2423	f		0	0	0	0	293	294
2425	n		0	0	1	0	81762	
2426	m		0	0	0	0	14975	14976
2427	m		0	0	0	0	24327	24328
2428	f		0	0	0	0	1935	1936
2432	m		1	0	0	0	15331	15332
2434	f		0	0	0	0	7739	7740
2439	f		0	0	0	0	4734	4735
2440	m		1	0	0	0	6427	6428
2441	f		0	0	0	0	5489	5490
2443	n		0	1	0	0	81764	81765
2452	m		0	0	0	0	4232	4233
2455	m		0	0	0	0	24075	24076
2456	f		0	0	0	0	3868	3869
2458	f		0	0	0	0	8139	8140
2461	m		1	0	0	0	595	596
2462	m		0	0	0	0	12969	12970
